,dateRep,day,month,year,cases,deaths,country,continent
25641,2020-01-10,1,10,2020,679.0,6.0,Slovakia,Europe
8323,2020-01-10,1,10,2020,191.0,2.0,Finland,Europe
27472,2020-01-10,1,10,2020,10657.0,143.0,Spain,Europe
13122,2020-01-10,1,10,2020,,0.0,Iceland,Europe
2661,2020-01-11,1,11,2020,1225.0,25.0,Bulgaria,Europe
9320,2020-01-11,1,11,2020,46290.0,231.0,France,Europe
21815,2020-01-11,1,11,2020,323.0,0.0,Norway,Europe
26573,2020-01-11,1,11,2020,557.0,25.0,Slovenia,Europe
6352,2020-01-11,1,11,2020,948.0,1.0,Denmark,Europe
5390,2020-01-11,1,11,2020,6551.0,224.0,Czechia,Europe
16946,2020-01-11,1,11,2020,47.0,1.0,Liechtenstein,Europe
18910,2020-01-11,1,11,2020,320.0,0.0,Luxembourg,Europe
25610,2020-01-11,1,11,2020,1883.0,0.0,Slovakia,Europe
4429,2020-01-11,1,11,2020,197.0,0.0,Cyprus,Europe
14054,2020-01-11,1,11,2020,546.0,2.0,Ireland,Europe
15022,2020-01-11,1,11,2020,29905.0,208.0,Italy,Europe
721,2020-01-11,1,11,2020,4476.0,33.0,Austria,Europe
22796,2020-01-11,1,11,2020,17171.0,152.0,Poland,Europe
24664,2020-01-11,1,11,2020,5324.0,99.0,Romania,Europe
12291,2020-01-11,1,11,2020,3878.0,69.0,Hungary,Europe
17914,2020-01-11,1,11,2020,619.0,4.0,Lithuania,Europe
28457,2020-01-11,1,11,2020,1297.0,22.0,Sweden,Europe
8292,2020-01-11,1,11,2020,151.0,0.0,Finland,Europe
1693,2020-01-11,1,11,2020,2662.0,166.0,Belgium,Europe
7324,2020-01-11,1,11,2020,62.0,0.0,Estonia,Europe
3623,2020-01-11,1,11,2020,2179.0,16.0,Croatia,Europe
20845,2020-01-11,1,11,2020,8679.0,29.0,Netherlands,Europe
10326,2020-01-11,1,11,2020,10523.0,169.0,Germany,Europe
27441,2020-01-11,1,11,2020,16117.0,268.0,Spain,Europe
13091,2020-01-11,1,11,2020,41.0,0.0,Iceland,Europe
11317,2020-01-11,1,11,2020,1678.0,0.0,Greece,Europe
19885,2020-01-11,1,11,2020,140.0,2.0,Malta,Europe
15997,2020-01-11,1,11,2020,242.0,3.0,Latvia,Europe
23723,2020-01-11,1,11,2020,2258.0,47.0,Portugal,Europe
13061,2020-01-12,1,12,2020,20.0,0.0,Iceland,Europe
19855,2020-01-12,1,12,2020,102.0,4.0,Malta,Europe
14992,2020-01-12,1,12,2020,19347.0,785.0,Italy,Europe
23693,2020-01-12,1,12,2020,2983.0,69.0,Portugal,Europe
6322,2020-01-12,1,12,2020,1468.0,10.0,Denmark,Europe
18880,2020-01-12,1,12,2020,674.0,5.0,Luxembourg,Europe
21785,2020-01-12,1,12,2020,362.0,2.0,Norway,Europe
15967,2020-01-12,1,12,2020,612.0,4.0,Latvia,Europe
8262,2020-01-12,1,12,2020,440.0,2.0,Finland,Europe
27411,2020-01-12,1,12,2020,8657.0,233.0,Spain,Europe
20815,2020-01-12,1,12,2020,4038.0,55.0,Netherlands,Europe
4399,2020-01-12,1,12,2020,318.0,0.0,Cyprus,Europe
17884,2020-01-12,1,12,2020,2242.0,34.0,Lithuania,Europe
7294,2020-01-12,1,12,2020,524.0,3.0,Estonia,Europe
